Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLabel,JobSatisfactionLabel,EnvironmentSatisfactionLabel,RelationshipSatisfactionLabel,WorkLifeBalanceLabel,JobInvolvementLabel,PerformanceRatingLabel,income_percentile_in_level,AttritionRiskScore,RiskTier,AgeBand,TenureBand
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,College,3-High,4-Very High,4-Very High,3-Better,Medium,Excellent,0.12359550561797752,62.5,High,26-35,4-5-10 yrs
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,Below College,3-High,1-Low,4-Very High,2-Good,High,Excellent,0.6546961325966851,38.2,Medium,26-35,3-3-5 yrs
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,College,4-Very High,2-Medium,3-High,3-Better,High,Excellent,0.4972375690607735,26.5,Low,26-35,2-1-3 yrs
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,Bachelor,3-High,3-High,2-Medium,3-Better,Medium,Excellent,0.08195211786372007,62.9,High,26-35,3-3-5 yrs
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,Master,1-Low,2-Medium,3-High,3-Better,Very High,Excellent,0.5022935779816514,48.2,Medium,26-35,4-5-10 yrs
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,College,2-Medium,1-Low,4-Very High,2-Good,Very High,Excellent,0.7716390423572744,57.3,High,26-35,4-5-10 yrs
22,No,Non-Travel,1123,Research & Development,16,2,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,College,4-Very High,4-Very High,2-Medium,2-Good,Very High,Excellent,0.6648250460405156,48.4,Medium,18-25,1-<1 yr
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,Master,4-Very High,1-Low,3-High,3-Better,Medium,Excellent,0.4339622641509434,33.9,Medium,46-55,5-10+ yrs
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,Bachelor,4-Very High,4-Very High,3-High,3-Better,High,Excellent,0.9263351749539595,47.2,Medium,36-45,2-1-3 yrs
24,No,Non-Travel,673,Research & Development,11,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,College,3-High,1-Low,4-Very High,2-Good,Very High,Excellent,0.06835205992509363,35.8,Medium,18-25,3-3-5 yrs
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,Master,1-Low,3-High,2-Medium,3-Better,Medium,Outstanding,0.7918968692449355,40.8,Medium,36-45,3-3-5 yrs
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,Master,2-Medium,1-Low,3-High,3-Better,High,Excellent,0.8899082568807339,34.1,Medium,26-35,5-10+ yrs
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,College,4-Very High,3-High,4-Very High,3-Better,High,Excellent,0.020257826887661142,29.8,Low,18-25,1-<1 yr
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,Below College,1-Low,2-Medium,3-High,3-Better,High,Excellent,0.6795580110497238,39.7,Medium,26-35,3-3-5 yrs
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,Bachelor,3-High,3-High,4-Very High,2-Good,High,Excellent,0.37681159420289856,41.0,Medium,46-55,5-10+ yrs
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,Below College,1-Low,2-Medium,2-Medium,3-Better,Low,Outstanding,0.9171270718232044,77.3,Critical,26-35,4-5-10 yrs
42,No,Travel_Rarely,691,Sales,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,Master,2-Medium,3-High,4-Very High,3-Better,High,Excellent,0.8895131086142322,37.1,Medium,36-45,4-5-10 yrs
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,Master,4-Very High,1-Low,4-Very High,3-Better,Medium,Excellent,0.5642201834862385,35.6,Medium,36-45,5-10+ yrs
46,No,Travel_Rarely,705,Sales,2,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,Master,1-Low,2-Medium,4-Very High,2-Good,High,Excellent,0.2753623188405797,49.0,Medium,46-55,2-1-3 yrs
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,Bachelor,4-Very High,3-High,4-Very High,3-Better,High,Excellent,0.39410681399631675,26.1,Low,26-35,1-<1 yr
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,Master,4-Very High,4-Very High,4-Very High,4-Best,High,Excellent,0.797752808988764,44.8,Medium,36-45,3-3-5 yrs
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,College,3-High,4-Very High,1-Low,3-Better,Medium,Excellent,0.18968692449355432,38.4,Medium,26-35,4-5-10 yrs
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,Bachelor,4-Very High,4-Very High,3-High,4-Best,High,Excellent,0.003745318352059925,26.2,Low,36-45,1-<1 yr
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,Bachelor,4-Very High,2-Medium,1-Low,2-Good,High,Excellent,0.2421731123388582,59.3,High,18-25,2-1-3 yrs
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,College,3-High,4-Very High,4-Very High,2-Good,Very High,Excellent,0.48250460405156537,31.7,Medium,36-45,3-3-5 yrs
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,College,3-High,1-Low,3-High,3-Better,Medium,Excellent,0.5064456721915286,58.7,High,46-55,2-1-3 yrs
35,No,Travel_Rarely,890,Sales,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,Bachelor,4-Very High,4-Very High,1-Low,3-Better,High,Excellent,0.07366482504604052,32.3,Medium,26-35,2-1-3 yrs
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,Master,1-Low,2-Medium,4-Very High,4-Best,Medium,Excellent,0.7955801104972375,62.0,High,36-45,1-<1 yr
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,Bachelor,1-Low,3-High,1-Low,3-Better,Very High,Excellent,0.5168539325842697,37.6,Medium,26-35,3-3-5 yrs
35,No,Travel_Rarely,464,Research & Development,4,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,College,4-Very High,3-High,3-High,3-Better,High,Excellent,0.06077348066298342,29.4,Low,26-35,1-<1 yr
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,Master,1-Low,4-Very High,4-Very High,3-Better,High,Excellent,0.289134438305709,42.1,Medium,26-35,1-<1 yr
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,Bachelor,3-High,1-Low,3-High,2-Good,Low,Excellent,0.2421731123388582,43.8,Medium,26-35,1-<1 yr
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,Bachelor,3-High,4-Very High,4-Very High,3-Better,High,Excellent,0.3119266055045872,33.4,Medium,26-35,4-5-10 yrs
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,College,4-Very High,3-High,4-Very High,3-Better,High,Outstanding,0.06835205992509363,33.8,Medium,26-35,5-10+ yrs
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,Bachelor,3-High,2-Medium,4-Very High,3-Better,High,Excellent,0.7246376811594203,42.8,Medium,36-45,5-10+ yrs
34,No,Non-Travel,1065,Sales,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,Master,3-High,2-Medium,3-High,3-Better,High,Outstanding,0.26217228464419473,44.4,Medium,26-35,4-5-10 yrs
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,College,2-Medium,2-Medium,1-Low,3-Better,High,Outstanding,0.7034990791896869,33.0,Medium,36-45,1-<1 yr
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,Master,4-Very High,1-Low,3-High,3-Better,High,Outstanding,0.649812734082397,48.5,Medium,46-55,4-5-10 yrs
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,Below College,4-Very High,4-Very High,4-Very High,3-Better,Very High,Excellent,0.22191528545119704,24.0,Low,26-35,1-<1 yr
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,College,3-High,1-Low,4-Very High,3-Better,Medium,Excellent,0.009174311926605505,63.7,High,46-55,1-<1 yr
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,Master,3-High,3-High,3-High,2-Good,High,Excellent,0.8066298342541437,58.7,High,26-35,2-1-3 yrs
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,Doctor,1-Low,2-Medium,3-High,2-Good,High,Outstanding,0.5468164794007491,69.8,High,36-45,3-3-5 yrs
35,No,Non-Travel,1097,Research & Development,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,College,1-Low,3-High,3-High,3-Better,Medium,Excellent,0.48623853211009177,71.9,Critical,26-35,3-3-5 yrs
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,Bachelor,4-Very High,3-High,3-High,2-Good,Medium,Excellent,0.11235955056179775,61.4,High,26-35,2-1-3 yrs
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,College,4-Very High,1-Low,3-High,3-Better,High,Excellent,0.9495412844036697,57.5,High,26-35,5-10+ yrs
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,Doctor,1-Low,2-Medium,4-Very High,2-Good,High,Outstanding,0.3623853211009174,46.6,Medium,26-35,4-5-10 yrs
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,Master,1-Low,3-High,3-High,3-Better,High,Excellent,0.9392265193370166,63.6,High,26-35,2-1-3 yrs
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,Master,4-Very High,4-Very High,4-Very High,2-Good,High,Outstanding,0.6722846441947565,28.5,Low,26-35,4-5-10 yrs
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,Master,3-High,1-Low,3-High,4-Best,Medium,Excellent,0.6900749063670412,28.1,Low,36-45,4-5-10 yrs
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,Bachelor,4-Very High,1-Low,2-Medium,3-Better,High,Outstanding,0.7237827715355806,58.3,High,26-35,4-5-10 yrs
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,Doctor,4-Very High,4-Very High,4-Very High,3-Better,High,Excellent,0.016853932584269662,43.3,Medium,36-45,4-5-10 yrs
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,College,3-High,2-Medium,4-Very High,2-Good,Medium,Excellent,0.2028985507246377,80.5,Critical,46-55,5-10+ yrs
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,Bachelor,1-Low,1-Low,4-Very High,2-Good,High,Excellent,0.13761467889908258,57.9,High,56-65,5-10+ yrs
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,Bachelor,3-High,3-High,2-Medium,3-Better,High,Excellent,0.5298165137614679,44.7,Medium,36-45,5-10+ yrs
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,Bachelor,3-High,4-Very High,3-High,3-Better,High,Excellent,0.37735849056603776,56.2,High,46-55,3-3-5 yrs
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,Bachelor,2-Medium,2-Medium,3-High,3-Better,Medium,Excellent,0.8033707865168539,35.7,Medium,36-45,4-5-10 yrs
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,Bachelor,1-Low,2-Medium,3-High,3-Better,High,Excellent,0.463302752293578,40.4,Medium,36-45,1-<1 yr
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,Bachelor,1-Low,2-Medium,4-Very High,2-Good,High,Excellent,0.1860036832412523,48.4,Medium,26-35,2-1-3 yrs
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,Bachelor,3-High,4-Very High,1-Low,2-Good,Medium,Excellent,0.7900552486187845,59.6,High,36-45,1-<1 yr
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,Below College,3-High,1-Low,4-Very High,2-Good,Medium,Excellent,0.5608614232209738,38.4,Medium,56-65,3-3-5 yrs
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,Bachelor,2-Medium,3-High,4-Very High,3-Better,High,Outstanding,0.5276243093922652,34.7,Medium,26-35,3-3-5 yrs
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,Master,2-Medium,3-High,2-Medium,3-Better,High,Excellent,0.3996316758747698,37.5,Medium,26-35,1-<1 yr
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,Bachelor,2-Medium,2-Medium,2-Medium,3-Better,High,Excellent,0.7378277153558053,32.6,Medium,26-35,4-5-10 yrs
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,Bachelor,4-Very High,2-Medium,2-Medium,3-Better,Very High,Excellent,0.7099447513812155,19.2,Low,36-45,1-<1 yr
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,Master,4-Very High,3-High,4-Very High,3-Better,High,Outstanding,0.20411985018726592,29.5,Low,26-35,5-10+ yrs
35,No,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,Master,1-Low,3-High,2-Medium,3-Better,Medium,Excellent,0.1704119850187266,50.0,Medium,26-35,5-10+ yrs
45,No,Travel_Rarely,193,Research & Development,6,4,Other,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,Master,1-Low,4-Very High,2-Medium,4-Best,High,Excellent,0.9357798165137615,56.9,High,36-45,1-<1 yr
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,Master,3-High,1-Low,1-Low,4-Best,High,Excellent,0.9862385321100917,21.4,Low,36-45,3-3-5 yrs
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,College,2-Medium,2-Medium,4-Very High,3-Better,High,Outstanding,0.3951310861423221,61.0,High,46-55,3-3-5 yrs
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,Below College,4-Very High,4-Very High,3-High,2-Good,Medium,Excellent,0.4232209737827715,62.8,High,26-35,4-5-10 yrs
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,Bachelor,3-High,2-Medium,1-Low,3-Better,Medium,Excellent,0.6298342541436464,32.5,Medium,26-35,4-5-10 yrs
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,College,4-Very High,1-Low,4-Very High,3-Better,High,Excellent,0.5596330275229358,25.9,Low,46-55,1-<1 yr
38,No,Non-Travel,573,Research & Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,Bachelor,4-Very High,2-Medium,4-Very High,3-Better,Low,Excellent,0.49625468164794007,59.0,High,36-45,5-10+ yrs
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,College,2-Medium,1-Low,3-High,3-Better,High,Excellent,0.17790262172284643,39.7,Medium,26-35,3-3-5 yrs
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,Bachelor,4-Very High,4-Very High,1-Low,2-Good,Low,Excellent,0.045871559633027525,40.8,Medium,56-65,4-5-10 yrs
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,Below College,1-Low,3-High,3-High,3-Better,High,Excellent,0.26703499079189685,42.3,Medium,18-25,1-<1 yr
